nm,attack_1,attack_2,attack_3,attack_4,attack_5,attack_6,attack_7,attack_8,attack_9,attack_10,wrestle_1,wrestle_2,wrestle_3,wrestle_4,wrestle_5,wrestle_6,wrestle_7,wrestle_8,wrestle_9,wrestle_10,chase_1,chase_2,chase_3,chase_4,chase_5,chase_6,chase_7,chase_8,chase_9,chase_10,escape_1,escape_2,escape_3,escape_4,escape_5,escape_6,escape_7,escape_8,escape_9,escape_10,conflict_1,conflict_2,conflict_3,conflict_4,conflict_5,conflict_6,conflict_7,conflict_8,conflict_9,conflict_10,investment_1,investment_2,investment_3,investment_4,investment_5,investment_6,investment_7,investment_8,investment_9,investment_10
n0560 =,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,1,1,1,5,3,1,0,0,0,0,1,1,3,119.4384,6.9138,0,0,0,0,0,0,0,0
n0560 o,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,1,0,0,0,0,0,0,6,5,14,1,0,0,0,0,0,0,66.0318,0,8.94504,0,0,0,212.0441,0,0,0
n0560 A,8,4,2,0,0,0,1,4,2,2,2,0,2,0,0,0,4,2,0,0,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,14,6,6,0,0,0,6,6,2,2,498.762,483.6652,415.57697,505.82841,478.95999,457.26944,440.60974,544.87995,538.10401,329.36411
n0560 H,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,2,0,2,0,0,0,4,4,0,1,2,0,2,0,0,0,188.6766,11.1556,0,224.961,0,0,0,0,0,0
n0560 O,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,0,5,1,0,2,0,5,1,3,1,0,5,1,0,2,0,11.4896,0,0,0,0,46.0268,0,0,0,117.48708
n0560 X,6,3,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,1,2,0,0,0,0,0,530.9262,507.9804,465.17522,506.69634,332.30138,555.4318,358.4022,406.86605,425.49007,136.3449
n0566 =,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,446.431,537.9266,0,0,188.04566,0,0,0,0
n0566 o,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,4,0,0,0,0,1,0,0,168.90988,0,600.9297,7.71009,0,0,446.75089,0,0,0
n0566 A,0,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,1,0,0,578.41328,593.0045,572.0491,534.59959,263.47804,102.64803,385.0699,305.53347,321.0867,336.90648
n0566 H,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,1,350.00608,599.04773,554.6539,522.81756,443.81374,600.06503,513.27119,340.312,380.49762,0
n0566 O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n0566 X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,97.1938,0,93.55576,0,0,0,159.04144
n0584 =,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,3,3,0,0,0,2,0,1,0,0,62.682,0,0,0,0,367.2473,0,0,0
n0584 o,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,1,1,1,0,0,2,4,5,2,0,2,1,1,0,0,2,599.4174,0,0,319.0839,600.8863,0,0,0,0,569.946
n0584 A,1,0,1,0,3,1,0,0,1,0,2,1,0,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,5,1,1,0,2,0,528.1909,52.03479,35.1794,314.1441,149.5958,0,536.569,271.088,323.9907,601.0534
