Date_dmy,Time_Relative_sf,Observation,Subject,Tb,Ta,Tc,Ts,Tb.Ta,Tb.Tc,Tb.Ts,treat,mi_hier,mark,nm
15-07-2014,708.794,n0615,Female H,15.2,16,16.3,NA,-0.8,-1.1,NA,control,2,H,n0615 H
15-07-2014,720.242,n0615,Female H,15.3,16.1,16.4,NA,-0.8,-1.1,NA,control,2,H,n0615 H
15-07-2014,724.915,n0615,Female H,15.3,16,16.3,NA,-0.7,-1,NA,control,2,H,n0615 H
15-07-2014,1080.71,n0615,Female H,16.4,16.2,16.5,NA,0.2,-0.1,NA,control,2,H,n0615 H
15-07-2014,1260.52,n0615,Female H,16.5,16.2,16.5,NA,0.3,0,NA,control,2,H,n0615 H
15-07-2014,2700.53,n0615,Female H,15.6,15.9,16.2,NA,-0.3,-0.6,NA,control,2,H,n0615 H
15-07-2014,3961.12,n0615,Female H,16.1,15.6,15.8,NA,0.5,0.3,NA,control,2,H,n0615 H
15-07-2014,5999.48,n0615,Female H,NA,NA,NA,NA,,NA,NA,control,2,H,n0615 H
15-07-2014,6000.72,n0615,Female H,NA,NA,NA,NA,,NA,NA,control,2,H,n0615 H
23-01-2015,1672.87,n0616,Female H,NA,NA,NA,NA,,NA,NA,control,1,H,n0616 H
23-01-2015,1675.3,n0616,Female H,NA,NA,NA,NA,,NA,NA,control,1,H,n0616 H
23-01-2015,1979.13,n0616,Female H,17.4,15.3,15.8,NA,2.1,1.6,NA,control,1,H,n0616 H
23-01-2015,5040.75,n0616,Female H,14.8,14.9,15.3,NA,-0.1,-0.5,NA,control,1,H,n0616 H
23-01-2015,5070.96,n0616,Female H,15.5,15.1,15.4,NA,0.4,0.1,NA,control,1,H,n0616 H
23-01-2015,5400.84,n0616,Female H,18,14.7,15.2,NA,3.3,2.8,NA,control,1,H,n0616 H
23-01-2015,5760.93,n0616,Female H,18.4,14.8,15.2,NA,3.6,3.2,NA,control,1,H,n0616 H
29-01-2015,6481.066,n0616,Female H,17,14.5,14.9,NA,2.5,2.1,NA,control,1,H,n0616 H
29-01-2015,10753.85,n0616,Female H,17.3,13.3,13.7,13.4,4,3.6,3.9,control,1,H,n0616 H
29-01-2015,11954.49,n0616,Female H,15,12.9,13.3,13.1,2.1,1.7,1.9,control,1,H,n0616 H
23-11-2018,13155.04,n0616,Female H,16.3,12.8,13.3,13,3.5,3,3.3,control,1,H,n0616 H
23-11-2018,13754.49,n0616,Female H,14.8,12.8,13.2,13,2,1.6,1.8,control,1,H,n0616 H
23-11-2018,14354.31,n0616,Female H,16.1,12.9,13.3,13.1,3.2,2.8,3,control,1,H,n0616 H
23-11-2018,21555.91,n0616,Female H,15.2,12.7,13.1,13,2.5,2.1,2.2,control,1,H,n0616 H
23-11-2018,22156.33,n0616,Female H,15.7,12.6,13,12.9,3.1,2.7,2.8,control,1,H,n0616 H
23-11-2018,22756.28,n0616,Female H,15.8,12.6,13.1,12.7,3.2,2.7,3.1,control,1,H,n0616 H
23-11-2018,23357.27,n0616,Female H,14.6,12.6,13,12.9,2,1.6,1.7,control,1,H,n0616 H
23-11-2018,23956.69,n0616,Female H,12.9,12.5,12.9,12.8,0.4,0,0.1,control,1,H,n0616 H
26-11-2018,24556.953,n0616,Female H,13.6,12.6,13,12.9,1,0.6,0.7,control,1,H,n0616 H
26-11-2018,32357.34,n0616,Female H,15.6,12.3,12.8,12.6,3.3,2.8,3,control,1,H,n0616 H
26-11-2018,32958.16,n0616,Female H,14.8,12.3,12.8,12.6,2.5,2,2.2,control,1,H,n0616 H
26-11-2018,34758.82,n0616,Female H,15.3,12.3,12.7,12.6,3,2.6,2.7,control,1,H,n0616 H
26-11-2018,35958.89,n0616,Female H,14.5,12.3,12.7,12.6,2.2,1.8,1.9,control,1,H,n0616 H
01-11-2016,359.032,n0673,Female H,14.6,15,15.3,NA,-0.4,-0.7,NA,control,1,H,n0673 H
01-11-2016,362.87,n0673,Female H,15.2,15.1,15.5,NA,0.1,-0.3,NA,control,1,H,n0673 H
